ensembl_gene_id	hgnc_symbol	TPM
ENSG00000121410	A1BG	101
ENSG00000175899	A2M	424
ENSG00000094914	AAAS	720
ENSG00000081760	AACS	192
ENSG00000109576	AADAT	139
ENSG00000103591	AAGAB	538
ENSG00000115977	AAK1	754
ENSG00000087884	AAMDC	282
ENSG00000127837	AAMP	92
ENSG00000131043	AAR2	396
ENSG00000205002	AARD	51
ENSG00000124608	AARS2	447
ENSG00000266967	AARSD1	433
ENSG00000157426	AASDH	260
ENSG00000149313	AASDHPPT	590
ENSG00000008311	AASS	461
ENSG00000276072	AATF	114
ENSG00000183044	ABAT	233
ENSG00000165029	ABCA1	129
ENSG00000154263	ABCA10	0
ENSG00000251595	ABCA11P	3
ENSG00000179869	ABCA13	462
ENSG00000107331	ABCA2	440
ENSG00000167972	ABCA3	172
ENSG00000154265	ABCA5	1240
ENSG00000154262	ABCA6	10
ENSG00000064687	ABCA7	6
ENSG00000141338	ABCA8	0
ENSG00000154258	ABCA9	74
ENSG00000085563	ABCB1	1011
ENSG00000135776	ABCB10	130
ENSG00000115657	ABCB6	91
ENSG00000131269	ABCB7	962
ENSG00000197150	ABCB8	121
ENSG00000150967	ABCB9	84
ENSG00000103222	ABCC1	810
ENSG00000124574	ABCC10	173
ENSG00000023839	ABCC2	10
ENSG00000108846	ABCC3	31
ENSG00000125257	ABCC4	200
ENSG00000114770	ABCC5	454
ENSG00000091262	ABCC6	149
ENSG00000069431	ABCC9	146
ENSG00000101986	ABCD1	46
ENSG00000117528	ABCD3	296
ENSG00000119688	ABCD4	753
ENSG00000164163	ABCE1	819
ENSG00000206490	ABCF1	1
ENSG00000033050	ABCF2	83
ENSG00000161204	ABCF3	77
ENSG00000160179	ABCG1	614
ENSG00000118777	ABCG2	26
ENSG00000143994	ABHD1	32
ENSG00000144827	ABHD10	372
ENSG00000106077	ABHD11	8
ENSG00000100997	ABHD12	97
ENSG00000131969	ABHD12B	8
ENSG00000139826	ABHD13	148
ENSG00000248487	ABHD14A	271
ENSG00000114786	ABHD14A-ACY1	21
ENSG00000114779	ABHD14B	298
ENSG00000168792	ABHD15	219
ENSG00000230475	ABHD16A	1
ENSG00000183260	ABHD16B	49
ENSG00000129968	ABHD17A	111
ENSG00000107362	ABHD17B	405
ENSG00000136379	ABHD17C	216
ENSG00000164074	ABHD18	58
ENSG00000140526	ABHD2	915
ENSG00000158201	ABHD3	116
ENSG00000100439	ABHD4	106
ENSG00000011198	ABHD5	59
ENSG00000127220	ABHD8	63
ENSG00000136754	ABI1	1786
ENSG00000138443	ABI2	660
ENSG00000154175	ABI3BP	7
ENSG00000097007	ABL1	460
ENSG00000143322	ABL2	273
ENSG00000099204	ABLIM1	1729
ENSG00000173210	ABLIM3	0
ENSG00000175164	ABO	555
ENSG00000278741	ABR	7
ENSG00000146386	ABRACL	810
ENSG00000146109	ABT1	344
ENSG00000114626	ABTB1	87
ENSG00000060971	ACAA1	366
ENSG00000167315	ACAA2	421
ENSG00000275176	ACACA	388
ENSG00000076555	ACACB	201
ENSG00000111271	ACAD10	60
ENSG00000240303	ACAD11	436
ENSG00000151498	ACAD8	308
ENSG00000177646	ACAD9	112
ENSG00000117054	ACADM	468
ENSG00000122971	ACADS	119
ENSG00000196177	ACADSB	232
ENSG00000072778	ACADVL	586
ENSG00000072818	ACAP1	774
ENSG00000114331	ACAP2	2753
ENSG00000131584	ACAP3	29
ENSG00000075239	ACAT1	91
ENSG00000120437	ACAT2	65
ENSG00000182827	ACBD3	325
ENSG00000181513	ACBD4	124
ENSG00000107897	ACBD5	166
ENSG00000230124	ACBD6	722
ENSG00000176244	ACBD7	68
ENSG00000110455	ACCS	206
ENSG00000102977	ACD	243
ENSG00000159640	ACE	62
ENSG00000167769	ACER1	20
ENSG00000078124	ACER3	150
ENSG00000100813	ACIN1	521
ENSG00000144648	ACKR2	5
ENSG00000144476	ACKR3	128
ENSG00000129048	ACKR4	0
ENSG00000131473	ACLY	995
ENSG00000122729	ACO1	25
ENSG00000100412	ACO2	89
ENSG00000184227	ACOT1	40
ENSG00000162390	ACOT11	685
ENSG00000112304	ACOT13	63
ENSG00000119673	ACOT2	248
ENSG00000177465	ACOT4	0
ENSG00000097021	ACOT7	686
ENSG00000101473	ACOT8	23
ENSG00000123130	ACOT9	198
ENSG00000161533	ACOX1	204
ENSG00000168306	ACOX2	339
ENSG00000087008	ACOX3	119
ENSG00000143727	ACP1	818
ENSG00000134575	ACP2	18
ENSG00000102575	ACP5	0
ENSG00000162836	ACP6	173
ENSG00000111644	ACRBP	0
ENSG00000167107	ACSF2	14
ENSG00000176715	ACSF3	743
ENSG00000151726	ACSL1	95
ENSG00000123983	ACSL3	341
ENSG00000068366	ACSL4	160
ENSG00000197142	ACSL5	561
ENSG00000166743	ACSM1	0
ENSG00000183747	ACSM2A	34
ENSG00000066813	ACSM2B	51
ENSG00000005187	ACSM3	1155
ENSG00000154930	ACSS1	529
ENSG00000131069	ACSS2	430
ENSG00000107796	ACTA2	284
ENSG00000075624	ACTB	7756
ENSG00000184009	ACTG1	9221
ENSG00000259315	ACTG1P17	11
ENSG00000136518	ACTL6A	351
ENSG00000072110	ACTN1	709
ENSG00000130402	ACTN4	876
ENSG00000131966	ACTR10	626
ENSG00000138107	ACTR1A	433
ENSG00000115073	ACTR1B	519
ENSG00000138071	ACTR2	2130
ENSG00000115091	ACTR3	2262
ENSG00000133627	ACTR3B	178
ENSG00000106526	ACTR3C	24
ENSG00000101442	ACTR5	306
ENSG00000075089	ACTR6	26
ENSG00000113812	ACTR8	17
ENSG00000115170	ACVR1	198
ENSG00000135503	ACVR1B	74
ENSG00000121989	ACVR2A	334
ENSG00000114739	ACVR2B	71
ENSG00000139567	ACVRL1	80
ENSG00000243989	ACY1	262
ENSG00000132744	ACY3	25
ENSG00000119640	ACYP1	814
ENSG00000170634	ACYP2	335
ENSG00000196839	ADA	699
ENSG00000168803	ADAL	1
ENSG00000137845	ADAM10	871
ENSG00000073670	ADAM11	31
ENSG00000143537	ADAM15	101
ENSG00000151694	ADAM17	454
ENSG00000135074	ADAM19	1
ENSG00000008277	ADAM22	496
ENSG00000042980	ADAM28	2591
ENSG00000275594	ADAM32	458
ENSG00000197475	ADAM3A	15
ENSG00000151651	ADAM8	483
ENSG00000282230	ADAM9	457
ENSG00000134028	ADAMDEC1	0
ENSG00000154734	ADAMTS1	291
ENSG00000142303	ADAMTS10	12
ENSG00000160323	ADAMTS13	0
ENSG00000087116	ADAMTS2	3
ENSG00000156140	ADAMTS3	0
ENSG00000158859	ADAMTS4	97
ENSG00000049192	ADAMTS6	29
ENSG00000136378	ADAMTS7	0
ENSG00000156218	ADAMTSL3	2328
ENSG00000143382	ADAMTSL4	122
ENSG00000184060	ADAP2	0
ENSG00000160710	ADAR	1467
ENSG00000197381	ADARB1	172
ENSG00000185736	ADARB2	5
ENSG00000065457	ADAT1	259
ENSG00000189007	ADAT2	223
ENSG00000063761	ADCK1	0
ENSG00000133597	ADCK2	216
ENSG00000173137	ADCK5	25
ENSG00000164742	ADCY1	14
ENSG00000161912	ADCY10P1	26
ENSG00000078295	ADCY2	34
ENSG00000138031	ADCY3	620
ENSG00000129467	ADCY4	74
ENSG00000174233	ADCY6	355
ENSG00000121281	ADCY7	275
ENSG00000162104	ADCY9	124
ENSG00000087274	ADD1	966
ENSG00000075340	ADD2	3
ENSG00000148700	ADD3	1930
ENSG00000152990	ADGRA3	57
ENSG00000111452	ADGRD1	4
ENSG00000180264	ADGRD2	17
ENSG00000127507	ADGRE2	520
ENSG00000123146	ADGRE5	348
ENSG00000153292	ADGRF1	14
ENSG00000069122	ADGRF5	440
ENSG00000205336	ADGRG1	658
ENSG00000173698	ADGRG2	32
ENSG00000182885	ADGRG3	14
ENSG00000159618	ADGRG5	1
ENSG00000112414	ADGRG6	1338
ENSG00000072071	ADGRL1	232
ENSG00000117114	ADGRL2	0
ENSG00000162618	ADGRL4	37
ENSG00000197894	ADH5	727
ENSG00000147576	ADHFE1	561
ENSG00000280830	ADI1	828
ENSG00000181092	ADIPOQ	6
ENSG00000159346	ADIPOR1	576
ENSG00000006831	ADIPOR2	1051
ENSG00000148671	ADIRF	37
ENSG00000156110	ADK	340
ENSG00000148926	ADM	0
ENSG00000128165	ADM2	8
ENSG00000224420	ADM5	0
ENSG00000101126	ADNP	2202
ENSG00000101544	ADNP2	361
ENSG00000181915	ADO	329
ENSG00000128271	ADORA2A	0
ENSG00000170425	ADORA2B	57
ENSG00000159322	ADPGK	1070
ENSG00000144843	ADPRH	239
ENSG00000153531	ADPRHL1	7
ENSG00000116863	ADPRHL2	53
ENSG00000170222	ADPRM	208
ENSG00000120907	ADRA1A	10
ENSG00000150594	ADRA2A	1
ENSG00000043591	ADRB1	1
ENSG00000130706	ADRM1	246
ENSG00000239900	ADSL	731
ENSG00000106624	AEBP1	12
ENSG00000139154	AEBP2	614
ENSG00000181026	AEN	99
ENSG00000196526	AFAP1	44
ENSG00000157510	AFAP1L1	114
ENSG00000169129	AFAP1L2	0
ENSG00000130396	AFDN	198
ENSG00000172493	AFF1	2681
ENSG00000155966	AFF2	0
ENSG00000144218	AFF3	487
ENSG00000072364	AFF4	704
ENSG00000223959	AFG3L1P	592
ENSG00000141385	AFG3L2	444
ENSG00000183077	AFMID	172
ENSG00000119844	AFTPH	713
ENSG00000038002	AGA	141
ENSG00000157985	AGAP1	9
ENSG00000265018	AGAP12P	58
ENSG00000135439	AGAP2	203
ENSG00000133612	AGAP3	47
ENSG00000188234	AGAP4	19
ENSG00000172650	AGAP5	9
ENSG00000204149	AGAP6	236
ENSG00000204172	AGAP9	244
ENSG00000165923	AGBL2	290
ENSG00000146856	AGBL3	168
ENSG00000084693	AGBL5	370
ENSG00000173744	AGFG1	559
ENSG00000106351	AGFG2	39
ENSG00000164252	AGGF1	395
ENSG00000262327	AGK	672
ENSG00000162688	AGL	523
ENSG00000116771	AGMAT	40
ENSG00000092847	AGO1	634
ENSG00000123908	AGO2	1325
ENSG00000126070	AGO3	1160
ENSG00000134698	AGO4	182
ENSG00000169692	AGPAT2	109
ENSG00000160216	AGPAT3	330
ENSG00000026652	AGPAT4	3
ENSG00000155189	AGPAT5	758
ENSG00000018510	AGPS	584
ENSG00000135049	AGTPBP1	547
ENSG00000177674	AGTRAP	311
ENSG00000172482	AGXT	31
ENSG00000153207	AHCTF1	520
ENSG00000101444	AHCY	713
ENSG00000168710	AHCYL1	842
ENSG00000158467	AHCYL2	29
ENSG00000135541	AHI1	765
ENSG00000124942	AHNAK	1329
ENSG00000185567	AHNAK2	2
ENSG00000106546	AHR	1810
ENSG00000286169	AHRR	81
ENSG00000100591	AHSA1	435
ENSG00000186063	AIDA	1078
ENSG00000235588	AIF1	686
ENSG00000126878	AIF1L	221
ENSG00000156709	AIFM1	110
ENSG00000042286	AIFM2	6
ENSG00000146416	AIG1	644
ENSG00000164022	AIMP1	330
ENSG00000106305	AIMP2	275
ENSG00000110711	AIP	365
ENSG00000129221	AIPL1	20
ENSG00000106992	AK1	35
ENSG00000004455	AK2	1411
ENSG00000147853	AK3	1593
ENSG00000162433	AK4	181
ENSG00000279247	AK6	592
ENSG00000140057	AK7	20
ENSG00000155085	AK9	455
ENSG00000121057	AKAP1	57
ENSG00000108599	AKAP10	390
ENSG00000023516	AKAP11	855
ENSG00000131016	AKAP12	62
ENSG00000170776	AKAP13	2265
ENSG00000197976	AKAP17A	374
ENSG00000111254	AKAP3	10
ENSG00000179841	AKAP5	19
ENSG00000151320	AKAP6	248
ENSG00000118507	AKAP7	377
ENSG00000105127	AKAP8	612
ENSG00000011243	AKAP8L	112
ENSG00000127914	AKAP9	3301
ENSG00000166452	AKIP1	506
ENSG00000174574	AKIRIN1	633
ENSG00000135334	AKIRIN2	534
ENSG00000106948	AKNA	735
ENSG00000162641	AKNAD1	0
ENSG00000117448	AKR1A1	1511
ENSG00000085662	AKR1B1	1145
ENSG00000198074	AKR1B10	9
ENSG00000227471	AKR1B15	189
ENSG00000187134	AKR1C1	105
ENSG00000196139	AKR1C3	986
ENSG00000053371	AKR7A2	597
ENSG00000162482	AKR7A3	0
ENSG00000142208	AKT1	240
ENSG00000204673	AKT1S1	29
ENSG00000105221	AKT2	311
ENSG00000275199	AKT3	1297
ENSG00000166971	AKTIP	34
ENSG00000148218	ALAD	865
ENSG00000023330	ALAS1	74
ENSG00000170017	ALCAM	1037
ENSG00000161618	ALDH16A1	190
ENSG00000059573	ALDH18A1	282
ENSG00000165092	ALDH1A1	3468
ENSG00000137124	ALDH1B1	51
ENSG00000144908	ALDH1L1	38
ENSG00000111275	ALDH2	904
ENSG00000072210	ALDH3A2	316
ENSG00000006534	ALDH3B1	24
ENSG00000159423	ALDH4A1	2
ENSG00000112294	ALDH5A1	117
ENSG00000119711	ALDH6A1	489
ENSG00000164904	ALDH7A1	582
ENSG00000143149	ALDH9A1	1081
ENSG00000149925	ALDOA	2555
ENSG00000109107	ALDOC	76
ENSG00000033011	ALG1	24
ENSG00000139133	ALG10	203
ENSG00000175548	ALG10B	408
ENSG00000253710	ALG11	360
ENSG00000182858	ALG12	448
ENSG00000101901	ALG13	1061
ENSG00000172339	ALG14	367
ENSG00000189366	ALG1L	6
ENSG00000119523	ALG2	179
ENSG00000214160	ALG3	86
ENSG00000120697	ALG5	354
ENSG00000088035	ALG6	531
ENSG00000159063	ALG8	15
ENSG00000086848	ALG9	294
ENSG00000100601	ALKBH1	157
ENSG00000189046	ALKBH2	593
ENSG00000166199	ALKBH3	151
ENSG00000160993	ALKBH4	68
ENSG00000091542	ALKBH5	331
ENSG00000239382	ALKBH6	119
ENSG00000125652	ALKBH7	243
ENSG00000137760	ALKBH8	0
ENSG00000116127	ALMS1	1139
ENSG00000108839	ALOX12	10
ENSG00000262943	ALOX12P2	14
ENSG00000012779	ALOX5	30
ENSG00000132965	ALOX5AP	1
ENSG00000073331	ALPK1	1172
ENSG00000136383	ALPK3	14
ENSG00000003393	ALS2	511
ENSG00000178038	ALS2CL	30
ENSG00000183684	ALYREF	161
